fact_id,vintage_id,car_reference,sale_quantity,sale_price,Brand,Model,Year,Engine Size,Top Speed,Horsepower,Country
156,15,32,3,39994,Porsche,914,1974,2.0L,205,100,Germany
157,36,347,2,37920,Toyota,Celica GT,1976,2.2L,185,96,Japan
158,29,268,2,37652,Lamborghini,Urraco P250,1972,2.5L,245,220,Italy
159,17,274,2,28745,Mercedes-Benz,450SL,1975,4.5L,215,225,Germany
160,42,307,2,30490,Honda,Civic RS,1975,1.5L,155,76,Japan
161,21,115,1,46920,Jaguar,XJ6 Series 1,1972,4.2L,205,170,UK
162,38,138,3,23988,Datsun,510,1972,1.6L,165,96,Japan
163,34,313,2,35534,Fiat,124 Spider,1971,1.6L,170,108,Italy
164,52,216,2,40398,Ford Falcon,GT-HO Phase III,1971,5.8L,225,300,Australia
165,25,99,2,45979,Triumph,Spitfire MkIV,1974,1.5L,155,63,UK
166,21,126,4,49382,Jaguar,XJ6 Series 1,1972,4.2L,205,170,UK
167,27,347,3,27266,Ferrari,308 GTB,1975,3.0L,255,255,Italy
168,8,147,2,5478,Pontiac,Firebird Trans Am,1973,7.5L,205,310,USA
169,8,362,4,40339,Pontiac,Firebird Trans Am,1973,7.5L,205,310,USA
170,4,364,4,36612,Chevrolet,Chevelle SS,1970,7.4L,215,450,USA
171,48,229,2,31291,Volvo,P1800,1969,2.0L,190,118,Sweden
172,31,144,1,6213,Alfa Romeo,Spider 2000,1978,2.0L,190,128,Italy
173,7,236,4,29995,Dodge,Challenger T/A,1970,5.6L,205,290,USA
174,3,112,4,33101,Chevrolet,Camaro Z28,1970,5.7L,210,360,USA
175,7,47,2,46991,Dodge,Challenger T/A,1970,5.6L,205,290,USA
176,44,16,1,25858,Subaru,Leone Coupe,1973,1.4L,150,80,Japan
177,35,319,1,45552,Toyota,2000GT,1969,2.0L,220,150,Japan
178,8,400,3,8944,Pontiac,Firebird Trans Am,1973,7.5L,205,310,USA
179,41,185,2,41924,Honda,S600,1966,0.6L,145,57,Japan
180,31,329,4,22373,Alfa Romeo,Spider 2000,1978,2.0L,190,128,Italy
181,42,12,4,28419,Honda,Civic RS,1975,1.5L,155,76,Japan
182,31,362,1,26054,Alfa Romeo,Spider 2000,1978,2.0L,190,128,Italy
183,12,88,1,6492,Volkswagen,Beetle Classic,1972,1.6L,130,60,Germany
184,50,171,2,5973,Opel,GT,1971,1.9L,185,102,Germany
185,31,95,3,43740,Alfa Romeo,Spider 2000,1978,2.0L,190,128,Italy
186,45,176,4,43178,Renault,Alpine A110,1973,1.6L,210,138,France
187,16,351,1,49646,Mercedes-Benz,280SL,1971,2.8L,200,170,Germany
188,6,368,4,40947,Dodge,Charger R/T,1968,7.2L,225,375,USA
189,6,273,1,15561,Dodge,Charger R/T,1968,7.2L,225,375,USA
190,11,326,4,23184,Lincoln,Continental Mark IV,1975,7.5L,190,202,USA
191,38,367,1,34571,Datsun,510,1972,1.6L,165,96,Japan
192,10,163,4,13183,Cadillac,Eldorado,1976,8.2L,180,215,USA
193,16,367,4,8094,Mercedes-Benz,280SL,1971,2.8L,200,170,Germany
194,9,364,4,32209,Pontiac,GTO Judge,1969,6.6L,215,366,USA
195,39,22,4,32877,Mazda,Cosmo Sport,1968,1.0L,185,110,Japan
196,38,31,3,48488,Datsun,510,1972,1.6L,165,96,Japan
197,45,242,1,11611,Renault,Alpine A110,1973,1.6L,210,138,France
198,28,377,4,21970,Ferrari,Dino 246 GT,1972,2.4L,235,195,Italy
199,25,129,3,23064,Triumph,Spitfire MkIV,1974,1.5L,155,63,UK
200,22,278,2,24500,Aston Martin,V8 Vantage,1977,5.3L,260,390,UK
201,11,205,2,12341,Lincoln,Continental Mark IV,1975,7.5L,190,202,USA
202,32,213,3,24124,Alfa Romeo,GTV 1750,1969,1.8L,195,118,Italy
203,35,225,4,38371,Toyota,2000GT,1969,2.0L,220,150,Japan
204,37,158,2,44571,Datsun,240Z,1971,2.4L,200,151,Japan
205,18,224,4,48505,BMW,2002 Turbo,1974,2.0L,210,170,Germany
206,7,152,4,38206,Dodge,Challenger T/A,1970,5.6L,205,290,USA
207,23,182,2,30074,Aston Martin,DB6,1966,4.0L,240,282,UK
208,18,238,2,42799,BMW,2002 Turbo,1974,2.0L,210,170,Germany
209,26,27,3,46451,MG,MGB Roadster,1969,1.8L,170,95,UK
210,30,19,2,17540,Lamborghini,Espada,1970,3.9L,245,325,Italy
211,4,6,1,13484,Chevrolet,Chevelle SS,1970,7.4L,215,450,USA
212,16,138,3,5949,Mercedes-Benz,280SL,1971,2.8L,200,170,Germany
213,6,257,2,32990,Dodge,Charger R/T,1968,7.2L,225,375,USA
214,6,241,2,16649,Dodge,Charger R/T,1968,7.2L,225,375,USA
215,31,18,2,8155,Alfa Romeo,Spider 2000,1978,2.0L,190,128,Italy
216,49,92,1,5774,Saab,Sonett III,1972,1.7L,165,65,Sweden
217,32,226,3,19619,Alfa Romeo,GTV 1750,1969,1.8L,195,118,Italy
218,46,366,1,37806,Peugeot,504 Coupe,1972,2.0L,180,104,France
219,31,55,1,46136,Alfa Romeo,Spider 2000,1978,2.0L,190,128,Italy
220,19,351,1,7503,BMW,3.0 CSL,1973,3.0L,220,206,Germany
221,52,62,4,34191,Ford Falcon,GT-HO Phase III,1971,5.8L,225,300,Australia
222,34,132,3,37900,Fiat,124 Spider,1971,1.6L,170,108,Italy
223,12,24,2,13182,Volkswagen,Beetle Classic,1972,1.6L,130,60,Germany
224,36,391,4,29309,Toyota,Celica GT,1976,2.2L,185,96,Japan
225,43,280,1,46224,Nissan,Bluebird 610,1974,1.8L,170,105,Japan
226,30,53,2,46569,Lamborghini,Espada,1970,3.9L,245,325,Italy
227,16,329,3,7691,Mercedes-Benz,280SL,1971,2.8L,200,170,Germany
228,44,238,3,40413,Subaru,Leone Coupe,1973,1.4L,150,80,Japan
229,28,333,4,31860,Ferrari,Dino 246 GT,1972,2.4L,235,195,Italy
230,49,111,1,6346,Saab,Sonett III,1972,1.7L,165,65,Sweden
231,4,208,3,24613,Chevrolet,Chevelle SS,1970,7.4L,215,450,USA
232,47,26,2,22355,Citroen,SM,1971,2.7L,220,170,France
233,26,67,2,5013,MG,MGB Roadster,1969,1.8L,170,95,UK
234,26,141,3,21762,MG,MGB Roadster,1969,1.8L,170,95,UK
235,43,279,4,24103,Nissan,Bluebird 610,1974,1.8L,170,105,Japan
236,16,304,4,45133,Mercedes-Benz,280SL,1971,2.8L,200,170,Germany
237,43,42,3,18352,Nissan,Bluebird 610,1974,1.8L,170,105,Japan
238,41,219,1,43084,Honda,S600,1966,0.6L,145,57,Japan
239,3,27,4,12883,Chevrolet,Camaro Z28,1970,5.7L,210,360,USA
240,46,327,1,5248,Peugeot,504 Coupe,1972,2.0L,180,104,France
241,38,158,3,35918,Datsun,510,1972,1.6L,165,96,Japan
242,12,54,2,39768,Volkswagen,Beetle Classic,1972,1.6L,130,60,Germany
243,52,370,1,5380,Ford Falcon,GT-HO Phase III,1971,5.8L,225,300,Australia
244,14,273,2,17932,Porsche,911 Carrera RS,1973,2.7L,240,210,Germany
245,27,273,1,40899,Ferrari,308 GTB,1975,3.0L,255,255,Italy
246,35,249,3,45483,Toyota,2000GT,1969,2.0L,220,150,Japan
247,52,299,2,39298,Ford Falcon,GT-HO Phase III,1971,5.8L,225,300,Australia
248,25,226,2,31574,Triumph,Spitfire MkIV,1974,1.5L,155,63,UK
249,43,90,3,35506,Nissan,Bluebird 610,1974,1.8L,170,105,Japan
250,34,158,2,47024,Fiat,124 Spider,1971,1.6L,170,108,Italy
251,43,101,4,48421,Nissan,Bluebird 610,1974,1.8L,170,105,Japan
252,22,349,3,36951,Aston Martin,V8 Vantage,1977,5.3L,260,390,UK
253,33,45,1,15063,Maserati,Bora,1973,4.7L,265,310,Italy
254,13,250,4,48047,Volkswagen,Karmann Ghia,1971,1.6L,145,50,Germany
255,26,110,4,45965,MG,MGB Roadster,1969,1.8L,170,95,UK
256,41,108,3,7686,Honda,S600,1966,0.6L,145,57,Japan
257,39,250,1,19769,Mazda,Cosmo Sport,1968,1.0L,185,110,Japan
258,19,382,4,18141,BMW,3.0 CSL,1973,3.0L,220,206,Germany
259,36,57,3,21984,Toyota,Celica GT,1976,2.2L,185,96,Japan
260,15,356,4,44108,Porsche,914,1974,2.0L,205,100,Germany
261,32,21,4,39031,Alfa Romeo,GTV 1750,1969,1.8L,195,118,Italy
262,27,162,3,9531,Ferrari,308 GTB,1975,3.0L,255,255,Italy
263,40,339,4,46518,Mazda,RX-3,1973,1.1L,190,130,Japan
264,19,31,2,32872,BMW,3.0 CSL,1973,3.0L,220,206,Germany
265,8,131,2,37103,Pontiac,Firebird Trans Am,1973,7.5L,205,310,USA
266,15,108,4,19224,Porsche,914,1974,2.0L,205,100,Germany
267,41,58,1,24797,Honda,S600,1966,0.6L,145,57,Japan
268,23,279,1,26744,Aston Martin,DB6,1966,4.0L,240,282,UK
269,4,311,2,16215,Chevrolet,Chevelle SS,1970,7.4L,215,450,USA
270,29,78,4,16652,Lamborghini,Urraco P250,1972,2.5L,245,220,Italy
271,6,298,2,47750,Dodge,Charger R/T,1968,7.2L,225,375,USA
272,22,141,3,11411,Aston Martin,V8 Vantage,1977,5.3L,260,390,UK
273,38,339,3,40772,Datsun,510,1972,1.6L,165,96,Japan
274,9,297,2,44569,Pontiac,GTO Judge,1969,6.6L,215,366,USA
275,17,360,4,18705,Mercedes-Benz,450SL,1975,4.5L,215,225,Germany
276,14,396,2,23762,Porsche,911 Carrera RS,1973,2.7L,240,210,Germany
277,29,179,1,40880,Lamborghini,Urraco P250,1972,2.5L,245,220,Italy
278,26,312,3,48238,MG,MGB Roadster,1969,1.8L,170,95,UK
279,17,276,4,8050,Mercedes-Benz,450SL,1975,4.5L,215,225,Germany
280,33,152,4,12726,Maserati,Bora,1973,4.7L,265,310,Italy
281,3,212,3,13313,Chevrolet,Camaro Z28,1970,5.7L,210,360,USA
282,29,328,2,33446,Lamborghini,Urraco P250,1972,2.5L,245,220,Italy
283,25,169,3,22779,Triumph,Spitfire MkIV,1974,1.5L,155,63,UK
284,15,312,3,23295,Porsche,914,1974,2.0L,205,100,Germany
285,18,277,2,27627,BMW,2002 Turbo,1974,2.0L,210,170,Germany
286,42,49,4,16122,Honda,Civic RS,1975,1.5L,155,76,Japan
287,39,285,3,32524,Mazda,Cosmo Sport,1968,1.0L,185,110,Japan
288,48,147,1,40971,Volvo,P1800,1969,2.0L,190,118,Sweden
289,34,402,4,21420,Fiat,124 Spider,1971,1.6L,170,108,Italy
290,44,349,2,41326,Subaru,Leone Coupe,1973,1.4L,150,80,Japan
291,40,199,1,12616,Mazda,RX-3,1973,1.1L,190,130,Japan
292,42,361,1,39523,Honda,Civic RS,1975,1.5L,155,76,Japan
293,29,77,2,24443,Lamborghini,Urraco P250,1972,2.5L,245,220,Italy
294,52,34,4,45688,Ford Falcon,GT-HO Phase III,1971,5.8L,225,300,Australia
295,19,362,4,36321,BMW,3.0 CSL,1973,3.0L,220,206,Germany
296,23,189,2,16367,Aston Martin,DB6,1966,4.0L,240,282,UK
297,34,226,2,23964,Fiat,124 Spider,1971,1.6L,170,108,Italy
298,31,303,2,22878,Alfa Romeo,Spider 2000,1978,2.0L,190,128,Italy
299,52,377,2,45119,Ford Falcon,GT-HO Phase III,1971,5.8L,225,300,Australia
300,50,143,3,26580,Opel,GT,1971,1.9L,185,102,Germany
301,0,262,4,31735,Ford,Mustang Boss 302,1969,5.0L,220,290,USA
302,18,120,1,25937,BMW,2002 Turbo,1974,2.0L,210,170,Germany
303,50,33,2,48083,Opel,GT,1971,1.9L,185,102,Germany
304,25,321,1,27699,Triumph,Spitfire MkIV,1974,1.5L,155,63,UK
305,9,138,4,34209,Pontiac,GTO Judge,1969,6.6L,215,366,USA
306,32,39,2,39911,Alfa Romeo,GTV 1750,1969,1.8L,195,118,Italy
307,34,175,2,30338,Fiat,124 Spider,1971,1.6L,170,108,Italy
308,7,102,1,43191,Dodge,Challenger T/A,1970,5.6L,205,290,USA
309,52,115,3,11323,Ford Falcon,GT-HO Phase III,1971,5.8L,225,300,Australia
310,8,392,3,45182,Pontiac,Firebird Trans Am,1973,7.5L,205,310,USA
311,0,47,1,28346,Ford,Mustang Boss 302,1969,5.0L,220,290,USA
312,40,200,3,8727,Mazda,RX-3,1973,1.1L,190,130,Japan
313,42,388,3,30213,Honda,Civic RS,1975,1.5L,155,76,Japan
314,17,93,2,42714,Mercedes-Benz,450SL,1975,4.5L,215,225,Germany
315,52,156,3,9540,Ford Falcon,GT-HO Phase III,1971,5.8L,225,300,Australia
316,46,39,4,37173,Peugeot,504 Coupe,1972,2.0L,180,104,France
317,31,270,4,21857,Alfa Romeo,Spider 2000,1978,2.0L,190,128,Italy
318,2,10,4,7351,Ford,Thunderbird,1967,7.0L,205,345,USA
319,4,185,2,32523,Chevrolet,Chevelle SS,1970,7.4L,215,450,USA
320,28,73,1,36331,Ferrari,Dino 246 GT,1972,2.4L,235,195,Italy
321,42,234,3,36259,Honda,Civic RS,1975,1.5L,155,76,Japan
322,9,264,4,42083,Pontiac,GTO Judge,1969,6.6L,215,366,USA
323,43,58,3,44674,Nissan,Bluebird 610,1974,1.8L,170,105,Japan
324,47,157,4,13469,Citroen,SM,1971,2.7L,220,170,France
325,39,360,4,37596,Mazda,Cosmo Sport,1968,1.0L,185,110,Japan
326,24,11,4,37576,Mini,Cooper S Mk3,1970,1.3L,160,75,UK
327,18,366,2,46936,BMW,2002 Turbo,1974,2.0L,210,170,Germany
328,19,317,2,16290,BMW,3.0 CSL,1973,3.0L,220,206,Germany
329,21,273,1,32571,Jaguar,XJ6 Series 1,1972,4.2L,205,170,UK
330,30,21,2,27831,Lamborghini,Espada,1970,3.9L,245,325,Italy
331,18,121,1,35021,BMW,2002 Turbo,1974,2.0L,210,170,Germany
332,26,68,2,27098,MG,MGB Roadster,1969,1.8L,170,95,UK
333,11,371,2,39868,Lincoln,Continental Mark IV,1975,7.5L,190,202,USA
334,48,257,1,43715,Volvo,P1800,1969,2.0L,190,118,Sweden
335,46,373,4,31922,Peugeot,504 Coupe,1972,2.0L,180,104,France
336,22,289,3,34100,Aston Martin,V8 Vantage,1977,5.3L,260,390,UK
337,19,75,4,36082,BMW,3.0 CSL,1973,3.0L,220,206,Germany
338,37,208,1,12147,Datsun,240Z,1971,2.4L,200,151,Japan
339,52,365,3,29961,Ford Falcon,GT-HO Phase III,1971,5.8L,225,300,Australia
340,29,36,4,8161,Lamborghini,Urraco P250,1972,2.5L,245,220,Italy
341,26,72,4,9739,MG,MGB Roadster,1969,1.8L,170,95,UK
342,35,150,2,13913,Toyota,2000GT,1969,2.0L,220,150,Japan
343,1,367,2,41538,Ford,Mustang Mach 1,1971,5.8L,210,285,USA
344,27,83,4,45264,Ferrari,308 GTB,1975,3.0L,255,255,Italy
345,51,160,1,33909,Holden,Monaro GTS,1971,5.7L,210,300,Australia
346,23,205,2,24975,Aston Martin,DB6,1966,4.0L,240,282,UK
347,50,9,2,38145,Opel,GT,1971,1.9L,185,102,Germany
348,20,393,3,45175,Jaguar,E-Type Series 3,1971,5.3L,240,272,UK
349,24,346,2,22821,Mini,Cooper S Mk3,1970,1.3L,160,75,UK
350,24,95,2,25367,Mini,Cooper S Mk3,1970,1.3L,160,75,UK
351,20,253,2,17904,Jaguar,E-Type Series 3,1971,5.3L,240,272,UK
352,13,245,4,5004,Volkswagen,Karmann Ghia,1971,1.6L,145,50,Germany
353,10,222,4,35201,Cadillac,Eldorado,1976,8.2L,180,215,USA
354,31,14,1,20330,Alfa Romeo,Spider 2000,1978,2.0L,190,128,Italy
